model_sentence,curie_sentence,semantic_score
"Saddle soap is used for cleaning, conditioning, and softening leather, and is also used in leather finishing and textiles. It is a solution of soap, water, and a small amount of salt that is mixed with a liquid to create a mild-tasting solution. This solution is wound into a cloth, then brushed or soaked in water to clean and soften the leather. The soap helps to soften the leather and make it more comfortable.","Saddle soap is a soap made for cleaning, conditioning, and softening leather. It is made with a blend of oils and butters that work to remove dirt, oil, and grease from the leather.",0.9375383853912354
"The Paramecia regulate water by way of contractile vacuoles, which are vacuoles within the body cavity of the paramecia, to regulate the forces that govern the body and its environment. These contractile vacuoles act to push and pull fluids within the body, allowing the body to move while maintaining a steady state.","Paramecia regulate water by way of contractile vacuoles. These vacuoles can contract and expel water, which helps the paramecia to stay submerged in water.",0.8894400596618652
"Fireworks are particularly dangerous when they contain gunpowder. Gunpowder is toxic and can cause serious burns, as well as other effects, such as death and serious injury. Gunpowder can also cause an explosion and damage to buildings, cars, and other objects. Furthermore, firework explosions can be hazardous to workers, especially when they are involved in the process of shooting.",Fireworks contain gunpowder which is a chemical that can easily cause a fire.,0.7949251532554626
"Predatory birds use their knowledge of the ground cover to stalk and kill prey on the reed beds. This knowledge allows the birds to adjust their tactics to better catch and kill prey. They also use their wings to fly high in the air and circle and capture fleeing birds, which is an effective technique for capturing and killing predators.",Predatory birds hunt the reed beds for mammals and other birds that shelter there because they believe that these creatures provide them with food.,0.7740404009819031
"The most popular cold cuts, such as tuna, ham, and cheese, have a comparatively high fat content compared to their healthier counterparts. Furthermore, the fat content of these dishes is often higher as they are often made from higher-calorie meats.",Most cold cuts are high in fat and sodium because they are made from raw meat. These types of cuts often contain a lot of unhealthy fats and sodium.,0.7805672883987427
Address books are found in suitcases.,Most people keep their address books in a suitcase so that they can easily access them when they travel.,0.8511258363723755
"This sentence is referring to the phenomenon of ""absorption"" – when light is absorbed by a material, it is then lost as heat energy, leading to a reduction in intensity of the light. This is why dark colors are often used in lighting, as they are able to absorb light and allow more light to pass through them. Furthermore, the higher wattage of a bulb is required to achieve the same amount of brightness in the dark.","Dark colors absorb light more than lighter colors, so they require higher wattages to light.",0.6664741635322571
"Abortion rights is a national issue with wide-reaching implications. It is a human right, calling for an acknowledgment from all sides that abortion is a moral and legal issue that applies to everyone. Abortion is a fundamental right, and all people should be able to make their own decisions about the procedure. This issue is a matter of human dignity, and it is essential for people to have the capacity to make their own decisions and make their own decisions based on the facts and evidence.","Abortion rights is a national issue that should be brought up by everyone, regardless of their stance on the matter. Abortion is a human rights issue that needs to be discussed and brought to light in order to protect the rights of all people involved.",0.9016513228416443
Most people experience an increase in fatigue after radiation therapy.,Most people feel tired after radiation therapy because it drains energy.,0.8739193677902222
"Similes are often used in stories to contrast two points of view, create an atmosphere of mystery, and create a feeling of suspense. They are used to express emotion and make the reader feel connected to the character. Similes can also be used to represent specific things, such as mountains and rivers, that are too large to be seen from the ground.","A simile is a figure of speech that compares two unlike things. They usually involve a verb and a noun, and the verb typically describes the action of the noun. For example, ""John is as tall as a tree"" would be a simile because the verb describes John as being like a tree.",0.7682704925537109
"Some girls notice changes in their physical and emotional health during their menstrual cycles. They may notice fatigue, moodiness, and feelings of sadness or anxiety. These changes may not be apparent immediately, but they can become more apparent as the menstrual cycle progresses.","Some girls notice that their emotions are more intense and that their mood swings are more pronounced during their menstrual cycles. Some girls also notice physical changes such as cramps, heavier periods, and acne.",0.8903127908706665
"Carbuncles are an abnormal condition caused by mutations in the bacteria that produce the fatty acids that make up the collagen found in the body. Carbuncles are caused by mutations in the genes that code for proteins that can make the fatty acids. The symptoms include anemia, fatigue, and weakness. Carbuncles can also cause other health problems, such as esophageal and renal complications.","Carbuncles are inflamed, pus-filled lesions that develop on the skin around the neck, armpits, and groin. They can be caused by a variety of infections, including strep throat, herpes, and human papillomavirus (HPV).",0.7063846588134766
